REGION,TECHNOLOGY,VALUE
GLOBAL,PWRBIOARGXX,30.0
GLOBAL,PWRBIOBOLXX,30.0
GLOBAL,PWRBIOBRAXX,30.0
GLOBAL,PWRBIOCHLXX,30.0
GLOBAL,PWRBIOCOLXX,30.0
GLOBAL,PWRBIOCRIXX,30.0
GLOBAL,PWRBIODOMXX,30.0
GLOBAL,PWRBIOECUXX,30.0
GLOBAL,PWRBIOGTMXX,30.0
GLOBAL,PWRBIOHNDXX,30.0
GLOBAL,PWRBIOMEXXX,30.0
GLOBAL,PWRBIONICXX,30.0
GLOBAL,PWRBIOPANXX,30.0
GLOBAL,PWRBIOPERXX,30.0
GLOBAL,PWRBIOPRYXX,30.0
GLOBAL,PWRBIOSLVXX,30.0
GLOBAL,PWRBIOURYXX,30.0
GLOBAL,PWRCOAARGXX,30.0
GLOBAL,PWRCOABRAXX,30.0
GLOBAL,PWRCOACHLXX,30.0
GLOBAL,PWRCOACOLXX,30.0
GLOBAL,PWRCOADOMXX,30.0
GLOBAL,PWRCOAGTMXX,30.0
GLOBAL,PWRCOAMEXXX,30.0
GLOBAL,PWRCOAPANXX,30.0
GLOBAL,PWRCOAPERXX,30.0
GLOBAL,PWRGEOCHLXX,30.0
GLOBAL,PWRGEOCRIXX,30.0
GLOBAL,PWRGEOGTMXX,30.0
GLOBAL,PWRGEOHNDXX,30.0
GLOBAL,PWRGEOMEXXX,30.0
GLOBAL,PWRGEONICXX,30.0
GLOBAL,PWRGEOSLVXX,30.0
GLOBAL,PWRHYDARGXX,100.0
GLOBAL,PWRHYDBOLXX,100.0
GLOBAL,PWRHYDBRAXX,100.0
GLOBAL,PWRHYDCHLXX,100.0
GLOBAL,PWRHYDCOLXX,100.0
GLOBAL,PWRHYDCRIXX,100.0
GLOBAL,PWRHYDDOMXX,100.0
GLOBAL,PWRHYDECUXX,100.0
GLOBAL,PWRHYDGTMXX,100.0
GLOBAL,PWRHYDHNDXX,100.0
GLOBAL,PWRHYDHTIXX,100.0
GLOBAL,PWRHYDMEXXX,100.0
GLOBAL,PWRHYDNICXX,100.0
GLOBAL,PWRHYDPANXX,100.0
GLOBAL,PWRHYDPERXX,100.0
GLOBAL,PWRHYDPRYXX,100.0
GLOBAL,PWRHYDSLVXX,100.0
GLOBAL,PWRHYDURYXX,100.0
GLOBAL,PWRLDSARGXX,60.0
GLOBAL,PWRLDSBOLXX,60.0
GLOBAL,PWRLDSBRAXX,60.0
GLOBAL,PWRLDSBRBXX,60.0
GLOBAL,PWRLDSCHLXX,60.0
GLOBAL,PWRLDSCOLXX,60.0
GLOBAL,PWRLDSCRIXX,60.0
GLOBAL,PWRLDSDOMXX,60.0
GLOBAL,PWRLDSECUXX,60.0
GLOBAL,PWRLDSGTMXX,60.0
GLOBAL,PWRLDSHNDXX,60.0
GLOBAL,PWRLDSHTIXX,60.0
GLOBAL,PWRLDSMEXXX,60.0
GLOBAL,PWRLDSNICXX,60.0
GLOBAL,PWRLDSPANXX,60.0
GLOBAL,PWRLDSPERXX,60.0
GLOBAL,PWRLDSPRYXX,60.0
